subject,electrode,band,k,error
3,5,Mu,3,0.35
3,5,Mu,4,0.25
3,5,Mu,5,0.3
3,5,Mu,6,0.3
3,5,Mu,7,0.3
3,5,Mu,8,0.4
3,5,Mu,9,0.4
3,5,Mu,10,0.55
3,5,Beta,1,0.65
3,5,Beta,2,0.65
3,5,Beta,3,0.55
3,5,Beta,4,0.65
3,5,Beta,5,0.6
3,5,Beta,6,0.55
3,5,Beta,7,0.5
3,5,Beta,8,0.55
3,5,Beta,9,0.65
3,5,Beta,10,0.7
3,6,Mu,1,0.7
3,6,Mu,2,0.65
3,6,Mu,3,0.5
3,6,Mu,4,0.6
3,6,Mu,5,0.55
3,6,Mu,6,0.65
3,6,Mu,7,0.6
3,6,Mu,8,0.6
3,6,Mu,9,0.65
3,6,Mu,10,0.6
3,6,Beta,1,0.65
3,6,Beta,2,0.6
3,6,Beta,3,0.5
3,6,Beta,4,0.45
3,6,Beta,5,0.5
3,6,Beta,6,0.35
3,6,Beta,7,0.4
3,6,Beta,8,0.4
3,6,Beta,9,0.4
3,6,Beta,10,0.5
3,7,Mu,1,0.35
3,7,Mu,2,0.45
3,7,Mu,3,0.6
3,7,Mu,4,0.6
3,7,Mu,5,0.5
3,7,Mu,6,0.45
3,7,Mu,7,0.6
3,7,Mu,8,0.6
3,7,Mu,9,0.65
3,7,Mu,10,0.75
3,7,Beta,1,0.35
3,7,Beta,2,0.3
3,7,Beta,3,0.25
3,7,Beta,4,0.3
3,7,Beta,5,0.25
3,7,Beta,6,0.2
3,7,Beta,7,0.2
3,7,Beta,8,0.2
3,7,Beta,9,0.25
3,7,Beta,10,0.55
3,8,Mu,1,0.65
3,8,Mu,2,0.7
3,8,Mu,3,0.75
3,8,Mu,4,0.55
3,8,Mu,5,0.75
3,8,Mu,6,0.7
3,8,Mu,7,0.8
3,8,Mu,8,0.65
3,8,Mu,9,0.65
3,8,Mu,10,0.6
3,8,Beta,1,0.45
3,8,Beta,2,0.4
3,8,Beta,3,0.35
3,8,Beta,4,0.45
3,8,Beta,5,0.3
3,8,Beta,6,0.45
3,8,Beta,7,0.35
3,8,Beta,8,0.45
3,8,Beta,9,0.55
3,8,Beta,10,0.45
3,9,Mu,1,0.45
3,9,Mu,2,0.45
3,9,Mu,3,0.65
3,9,Mu,4,0.75
3,9,Mu,5,0.75
3,9,Mu,6,0.65
3,9,Mu,7,0.85
3,9,Mu,8,0.75
3,9,Mu,9,0.85
3,9,Mu,10,0.7
3,9,Beta,1,0.45
3,9,Beta,2,0.55
3,9,Beta,3,0.65
3,9,Beta,4,0.75
3,9,Beta,5,0.6
3,9,Beta,6,0.6
3,9,Beta,7,0.65
3,9,Beta,8,0.65
3,9,Beta,9,0.7
3,9,Beta,10,0.6
3,10,Mu,1,0.5
3,10,Mu,2,0.5
3,10,Mu,3,0.55
3,10,Mu,4,0.5
3,10,Mu,5,0.45
3,10,Mu,6,0.45
3,10,Mu,7,0.5
3,10,Mu,8,0.5
3,10,Mu,9,0.55
3,10,Mu,10,0.65
3,10,Beta,1,0.6
3,10,Beta,2,0.55
3,10,Beta,3,0.55
3,10,Beta,4,0.6
3,10,Beta,5,0.55
3,10,Beta,6,0.55
3,10,Beta,7,0.55
3,10,Beta,8,0.65
3,10,Beta,9,0.5
3,10,Beta,10,0.7
3,11,Mu,1,0.6
3,11,Mu,2,0.65
3,11,Mu,3,0.65
3,11,Mu,4,0.7
3,11,Mu,5,0.65
3,11,Mu,6,0.7
3,11,Mu,7,0.65
3,11,Mu,8,0.65
3,11,Mu,9,0.55
3,11,Mu,10,0.65
3,11,Beta,1,0.35
3,11,Beta,2,0.4
3,11,Beta,3,0.5
3,11,Beta,4,0.55
3,11,Beta,5,0.45
3,11,Beta,6,0.55
3,11,Beta,7,0.55
3,11,Beta,8,0.65
3,11,Beta,9,0.65
3,11,Beta,10,0.7
3,12,Mu,1,0.45
3,12,Mu,2,0.55
3,12,Mu,3,0.7
3,12,Mu,4,0.55
3,12,Mu,5,0.75
3,12,Mu,6,0.8
3,12,Mu,7,0.75
3,12,Mu,8,0.65
3,12,Mu,9,0.75
3,12,Mu,10,0.6
3,12,Beta,1,0.4
3,12,Beta,2,0.35
3,12,Beta,3,0.45
3,12,Beta,4,0.55
3,12,Beta,5,0.4
3,12,Beta,6,0.3
3,12,Beta,7,0.3
3,12,Beta,8,0.2
3,12,Beta,9,0.2
3,12,Beta,10,0.2
3,13,Mu,1,0.55
3,13,Mu,2,0.4
